{c3288243-6e5d-4348-a5f1-185446b06e20} event:/cars/prs_box/backfire_ext
{9e09d39b-104f-4512-aec0-f3338c4af894} event:/cars/prs_box/backfire_int
{63cb0966-9d35-4851-94c4-12de79399990} event:/cars/prs_box/bodywork
{6c9f9cf7-4ef0-49c6-8468-02a77713d507} event:/cars/prs_box/door
{c402cda1-fcce-4f9f-b2df-b5554cadafd3} event:/cars/prs_box/engine_ext
{9663744b-2ca8-4d00-96c9-f3bdf15b69f2} event:/cars/prs_box/engine_int
{f4b1a4db-9953-4a72-b80a-6faeb9936fd4} event:/cars/prs_box/gear_ext
{5b3a4fa0-1667-4f68-8e89-677199e81f66} event:/cars/prs_box/gear_grind
{0b22c1b4-65f4-4cc6-9bff-f885864956c3} event:/cars/prs_boxy/gear_int
{6e93fbd7-47a3-4dfa-be4e-e2d978de8e39} event:/cars/prs_box/horn
{9a048269-4721-4363-be6d-d5f6d5c2d997} event:/cars/prs_box/skid_ext
{5505b1ca-4837-48fe-8e63-81a33cb0685f} event:/cars/prs_box/skid_int
{8811461e-dd7a-4ec0-983a-e0d75c2c9e90} event:/cars/prs_box/tractioncontrol_ext
{c783cad1-d0cf-4b94-86b1-424b8a7647ab} event:/cars/prs_box/tractioncontrol_int
{808a861b-de4d-4b31-8864-a7a8a06efbbc} event:/cars/prs_box/transmission
{0026db69-967c-4e28-a30c-45928cbc21b3} event:/cars/prs_box/turbo
{1bda3751-c5c8-4d17-99f5-cf349bd2ae54} event:/cars/prs_box/wheel
{5759ecfb-f642-4111-ae3c-52a1c4b2fa3e} event:/cars/prs_box/wind
{e7a0a53c-47d9-43bc-b7b8-e52d665bb16f} event:/collisions/car/hit
{30da2dc2-9c09-4556-8501-c6d54f63b689} event:/collisions/car/scrape
{68d68373-2ebb-41cc-9825-fa6dcc0027c2} event:/collisions/object/hit
{4bd6b486-ac12-483a-8e9e-4f587f8ec27f} event:/collisions/track/hit
{e7c31cb2-ac8d-4a2a-abc0-855cf9dff82e} event:/collisions/track/scrape
{4cc7ac44-8aaf-4473-91ea-aeca681ab958} event:/common/ambience
{d1f12277-fe8f-4106-9fb2-3de595d54a1c} event:/common/dirt
{f5666b9c-c659-459c-85bd-0eff6e92f7eb} event:/common/screw
{deae65e4-a5a7-4810-8adb-277fe4a96aa3} event:/common/unscrew
{f12c4de3-d817-4689-8985-f3a55d2274fc} event:/showrooms/showroom
{2cf5323a-2b34-4e01-ab6c-d0d6183d4ba7} event:/surfaces/extraturf
{62b4885a-92af-4af5-9f6d-2a467ffa2e3f} event:/surfaces/grass
{28e7a4ab-0e1c-4664-a7d8-b5fd89b024a0} event:/surfaces/gravel
{599532a9-5dac-40b8-8458-b0d16f89699a} event:/surfaces/kerb
{25b9a4aa-b8f7-4c53-ae28-0b98d81f732e} event:/surfaces/old
{7aa66622-f8c0-45b0-9650-89f6fc14cab1} event:/surfaces/sand
{c9bdf030-dda2-4d7c-9787-3dc4a166160c} event:/surfaces/tyre_rolling
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{4f6969ac-b7e1-45e5-84f1-31bc6f135357} bank:/showroom
{4b92e6ce-e701-48dd-8dc2-cb371c15dbfe} bank:/prs_box
{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
